Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3824,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-2.0000e+01,-0.00599999,0.00200001
-1.9992e+01,-0.00199999,-0.014
-1.9985e+01,-0.00599999,0.00200001
-1.9977e+01,-0.00599999,-0.00999999
-1.9969e+01,-0.00599999,0.00200001
-1.9962e+01,-0.00199999,-0.00999999
-1.9954e+01,-0.00199999,0.00600001
-1.9946e+01,-0.00199999,-0.014
-1.9939e+01,-0.00199999,0.00600001
-1.9931e+01,-0.00599999,-0.00999999
-1.9923e+01,-0.00199999,0.00200001
-1.9916e+01,-0.00599999,-0.014
-1.9908e+01,-0.00199999,0.00200001
-1.9900e+01,-0.00199999,-0.014
-1.9892e+01,-0.00599999,0.00200001
-1.9885e+01,-0.00199999,-0.014
-1.9877e+01,-0.00199999,0.00600001
-1.9869e+01,-0.00599999,-0.00999999
-1.9862e+01,-0.00199999,0.00200001
-1.9854e+01,-0.00199999,-0.014
-1.9846e+01,-0.00599999,0.00200001
-1.9839e+01,-0.00199999,-0.00999999
-1.9831e+01,-0.00599999,0.00200001
-1.9823e+01,-0.00199999,-0.014
-1.9816e+01,-0.00199999,0.00600001
-1.9808e+01,-0.00199999,-0.00999999
-1.9800e+01,-0.00199999,0.00200001
-1.9793e+01,-0.00199999,-0.00999999
-1.9785e+01,-0.00599999,0.00600001
-1.9777e+01,-0.00199999,-0.014
-1.9770e+01,-0.00599999,0.00600001
-1.9762e+01,-0.00599999,-0.00999999
-1.9754e+01,-0.00199999,0.00200001
-1.9747e+01,-0.00199999,-0.014
-1.9739e+01,-0.00199999,0.00200001
-1.9731e+01,-0.00599999,-0.00999999
-1.9724e+01,-0.00199999,0.00600001
-1.9716e+01,-0.00199999,-0.00999999
-1.9708e+01,-0.00599999,0.00600001
-1.9700e+01,-0.00199999,-0.00999999
-1.9693e+01,-0.00599999,0.00200001
-1.9685e+01,-0.00199999,-0.014
-1.9677e+01,-0.00599999,0.00600001
-1.9670e+01,-0.00199999,-0.014
-1.9662e+01,-0.00599999,0.00600001
-1.9654e+01,-0.00199999,-0.00999999
-1.9647e+01,-0.00599999,0.00600001
-1.9639e+01,-0.00599999,-0.014
-1.9631e+01,-0.00199999,0.00200001
-1.9624e+01,-0.00199999,-0.014
-1.9616e+01,-0.00199999,0.00200001
-1.9608e+01,-0.00199999,-0.014
-1.9601e+01,-0.00599999,0.00200001
-1.9593e+01,-0.00599999,-0.014
-1.9585e+01,-0.00599999,0.00600001
-1.9578e+01,-0.00199999,-0.014
-1.9570e+01,-0.00199999,0.00200001
-1.9562e+01,-0.00599999,-0.014
-1.9555e+01,-0.00599999,0.00200001
-1.9547e+01,-0.00199999,-0.014
-1.9539e+01,-0.00199999,0.00600001
-1.9531e+01,-0.00599999,-0.014
-1.9524e+01,-0.00199999,0.00200001
-1.9516e+01,-0.00599999,-0.014
-1.9508e+01,-0.00599999,0.00200001
-1.9501e+01,-0.00199999,-0.014
-1.9493e+01,-0.00199999,0.00200001
-1.9485e+01,-0.00599999,-0.00999999
-1.9478e+01,-0.00199999,0.00200001
-1.9470e+01,-0.00199999,-0.00999999
-1.9462e+01,-0.00199999,0.00200001
-1.9455e+01,-0.00199999,-0.014
-1.9447e+01,-0.00599999,0.00200001
-1.9439e+01,-0.00599999,-0.014
-1.9432e+01,-0.00199999,0.00600001
-1.9424e+01,-0.00599999,-0.014
-1.9416e+01,-0.00199999,0.00200001
-1.9409e+01,-0.00599999,-0.00999999
-1.9401e+01,-0.00599999,0.00200001
-1.9393e+01,-0.00599999,-0.014
-1.9386e+01,-0.00599999,0.00200001
-1.9378e+01,-0.00599999,-0.00999999
-1.9370e+01,-0.00599999,0.00200001
-1.9363e+01,-0.00199999,-0.00999999
-1.9355e+01,-0.00199999,0.00200001
-1.9347e+01,-0.00199999,-0.00999999
-1.9339e+01,-0.00199999,0.00200001
-1.9332e+01,-0.00199999,-0.00999999
-1.9324e+01,-0.00199999,0.00600001
-1.9316e+01,-0.00199999,-0.014
-1.9309e+01,-0.00199999,0.00200001
-1.9301e+01,-0.00199999,-0.014
-1.9293e+01,-0.00199999,0.00600001
-1.9286e+01,-0.00199999,-0.014
-1.9278e+01,-0.00199999,0.00200001
-1.9270e+01,-0.00599999,-0.00999999
-1.9263e+01,-0.00199999,0.00600001
-1.9255e+01,-0.00599999,-0.014
-1.9247e+01,-0.00599999,0.00200001
-1.9240e+01,-0.00199999,-0.00999999
-1.9232e+01,-0.00199999,0.00600001
-1.9224e+01,-0.00199999,-0.00999999
-1.9217e+01,-0.00199999,0.00200001
-1.9209e+01,-0.00599999,-0.00999999
-1.9201e+01,-0.00199999,0.00200001
-1.9194e+01,-0.00599999,-0.014
-1.9186e+01,-0.00599999,0.00200001
-1.9178e+01,-0.00199999,-0.00999999
-1.9171e+01,-0.00199999,0.00200001
-1.9163e+01,-0.00599999,-0.014
-1.9155e+01,-0.00199999,0.00600001
-1.9147e+01,-0.00599999,-0.014
-1.9140e+01,-0.00199999,0.00600001
-1.9132e+01,-0.00599999,-0.014
-1.9124e+01,-0.00599999,0.00200001
-1.9117e+01,-0.00199999,-0.00999999
-1.9109e+01,-0.00199999,0.00200001
-1.9101e+01,-0.00199999,-0.014
-1.9094e+01,-0.00199999,0.00600001
-1.9086e+01,-0.00199999,-0.00999999
-1.9078e+01,-0.00599999,0.00600001
-1.9071e+01,-0.00199999,-0.014
-1.9063e+01,-0.00199999,0.00200001
-1.9055e+01,-0.00599999,-0.014
-1.9048e+01,-0.00599999,0.00200001
-1.9040e+01,-0.00599999,-0.014
-1.9032e+01,-0.00599999,0.00200001
-1.9025e+01,-0.00599999,-0.014
-1.9017e+01,-0.00199999,0.00200001
-1.9009e+01,-0.00199999,-0.00999999
-1.9002e+01,-0.00199999,0.00600001
-1.8994e+01,-0.00599999,-0.014
-1.8986e+01,-0.00199999,0.00200001
-1.8978e+01,-0.00199999,-0.00999999
-1.8971e+01,-0.00599999,0.00600001
-1.8963e+01,-0.00199999,-0.014
-1.8955e+01,-0.00199999,0.00600001
-1.8948e+01,-0.00199999,-0.014
-1.8940e+01,-0.00199999,0.00600001
-1.8932e+01,-0.00199999,-0.00999999
